scenario_id,family_id,terminal_state,q_code,action_label,action_sequence_hash,parameter_policy_hash,required_policy_set,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,N28,N29
0cd393ea5ca3,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
6eadc4296340,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
b250839ce268,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
91f22a0a9c59,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
311d798c9448,F22,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
d4c2205985c0,F22,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N
2ac8db75b755,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
07715086953a,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
8756a9bc7c18,F01,QUARANTINE,Q11,QUARANTINE_AIC_MISSING_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
c36ba502bbe5,F01,QUARANTINE,Q11,QUARANTINE_LEGACY_FLAG_UNDOC_Q11,459af0d7d91c,3c62b6ab01fb,q_code,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N
