project_id,family_candidate,source_format,source_parser_subtype,study_design,aic_summary,modality_class,endpoint_data_type,A0_state,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,A9_state,A10_state,analyte_role,input_tables,key_columns,time_columns,dose_columns,observation_columns,covariate_columns,known_policies,missing_policies,manual_steps_required,expected_terminal_state,expected_q_code,expected_action_sequence,golden_dataset_available,raw_input_path,reference_output_path,seed_category_id,v4_2_relevant_axes,fingerprint_confidence,unknown_field_count,notes
PROJ_ADC_014,F24,,,,,ADC,PK_CONCENTRATION,,,,,,,,,,,,TOTAL_ANTIBODY|CONJUGATED_ADC|UNCONJUGATED_PAYLOAD,,,,,,,"['cmt_analyte_policy=multi_analyte_role_tagged', 'analyte_role=TOTAL_ANTIBODY|CONJUGATED_ADC|UNCONJUGATED_PAYLOAD']",[],,REPAIR,N/A,parse->assign_cmt_with_analyte_role->export,,data/raw_examples/F24/PROJ_ADC_014/raw_files/dataset_deidentified.csv,,14,,HIGH,0,
PROJ_ADDL_012,F01,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['addl_actual_conflict_policy=actual_priority'],[],,REPAIR,N/A,parse->resolve_addl_actual_conflict->export,,data/raw_examples/F01/PROJ_ADDL_012/raw_files/dataset_deidentified.csv,,12,,HIGH,0,
PROJ_BISP_015,F25,,,,,BISPECIFIC,PK_CONCENTRATION,,,,,,,,,,,,PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX,,,,,,,"['cmt_analyte_policy=multi_analyte_role_tagged', 'analyte_role=PARENT|SOLUBLE_TARGET|DRUG_TARGET_COMPLEX']",[],,REPAIR,N/A,parse->assign_cmt_with_analyte_role->export,,data/raw_examples/F25/PROJ_BISP_015/raw_files/dataset_deidentified.csv,,15,,HIGH,0,
PROJ_CART_016,F26,,,,,CELL_THERAPY,CELLULAR_KINETICS,,,,,,,,,,,,VECTOR_COPY|CAR_POSITIVE_CELL,,,,,,,"['cellular_LLOQ_derivation_policy=poisson_derived', 'product_level_covariate_linkage_policy=lot_to_subject_via_manufacturing_record', 'lot_subject_linkage_key=LOT_ID']",[],,REPAIR,N/A,parse->canonicalize_cellular_blq->attach_covariate_product_level->assign_cmt_with_analyte_role->export,,data/raw_examples/F26/PROJ_CART_016/raw_files/dataset_deidentified.csv,,16,,HIGH,0,
PROJ_CROSS_004,F08,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['occasion_policy=period'],[],,REPAIR,N/A,parse->assign_evid->export,,data/raw_examples/F08/PROJ_CROSS_004/raw_files/dataset_deidentified.csv,,4,,HIGH,0,
PROJ_DDI_005,F09,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['cmt_analyte_policy=ddi_victim_only'],[],,REPAIR,N/A,parse->assign_cmt_ddi_victim_only->export,,data/raw_examples/F09/PROJ_DDI_005/raw_files/dataset_deidentified.csv,,5,,HIGH,0,
PROJ_DDIVP_018,F22,,,,,SMALL_MOLECULE,PK_CONCENTRATION,,,,,,,,,,,,PARENT,,,,,,,"['cmt_analyte_policy=ddi_dual_cmt', 'dual_cmt_policy=victim_low_perp_high']",[],,REPAIR,N/A,parse->assign_cmt_ddi_victim_perpetrator->export,,data/raw_examples/F22/PROJ_DDIVP_018/raw_files/dataset_deidentified.csv,,18,,HIGH,0,
PROJ_INF_011,F01,,,,,MAB,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['infusion_reconstruction_policy=stop_restart_from_events'],[],,REPAIR,N/A,parse->reconstruct_infusion_stop_restart->export,,data/raw_examples/F01/PROJ_INF_011/raw_files/dataset_deidentified.csv,,11,,HIGH,0,
PROJ_LAC_020,F29,,,,,MAB,MATERNAL_INFANT_PK,,,,,,,,,,,,N/A,,,,,,,"['dyad_linkage_policy=mother_id_on_infant_row', 'delivery_anchor_policy=delivery_date']",[],,REPAIR,N/A,parse->attach_dyad_linkage->derive_time_postpartum_anchor->export,,data/raw_examples/F29/PROJ_LAC_020/raw_files/dataset_deidentified.csv,,20,,HIGH,0,
PROJ_LM_010,F01,,,,,MAB,PK_CONCENTRATION,,,,,,,,,,,,N/A,,,,,,,['dose_reconstruction_policy=loading_maintenance'],[],,REPAIR,N/A,parse->reconstruct_loading_maintenance->export,,data/raw_examples/F01/PROJ_LM_010/raw_files/dataset_deidentified.csv,,10,,HIGH,0,
