project_id,family_candidate,raw_file_path,ref_output_path,golden_candidate,deidentification_date,deidentified_by,seed_category_id
PROJ_S01_001,F01,data/raw_examples/F01/PROJ_S01_001/raw_files/dataset_deidentified.csv,data/golden_datasets/PROJ_S01_001/reference_output/nonmem_ready.csv,PREFERRED,2026-05-22,PLACEHOLDER_synthetic_signer,1
PROJ_POOL_002,F02,data/raw_examples/F02/PROJ_POOL_002/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,2
PROJ_SAD_003,F07,data/raw_examples/F07/PROJ_SAD_003/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,3
PROJ_CROSS_004,F08,data/raw_examples/F08/PROJ_CROSS_004/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,4
PROJ_DDI_005,F09,data/raw_examples/F09/PROJ_DDI_005/raw_files/dataset_deidentified.csv,data/golden_datasets/PROJ_DDI_005/reference_output/nonmem_ready.csv,PREFERRED,2026-05-22,PLACEHOLDER_synthetic_signer,5
PROJ_PED_006,F12,data/raw_examples/F12/PROJ_PED_006/raw_files/dataset_deidentified.csv,data/golden_datasets/PROJ_PED_006/reference_output/nonmem_ready.csv,YES,2026-05-22,PLACEHOLDER_synthetic_signer,6
PROJ_TDM_007,F20,data/raw_examples/F20/PROJ_TDM_007/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,7
PROJ_PRECLIN_008,F19,data/raw_examples/F19/PROJ_PRECLIN_008/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,8
PROJ_TITR_009,F07,data/raw_examples/F07/PROJ_TITR_009/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,9
PROJ_LM_010,F01,data/raw_examples/F01/PROJ_LM_010/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,10
PROJ_INF_011,F01,data/raw_examples/F01/PROJ_INF_011/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,11
PROJ_ADDL_012,F01,data/raw_examples/F01/PROJ_ADDL_012/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,12
PROJ_REAN_013,F01,data/raw_examples/F01/PROJ_REAN_013/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,13
PROJ_ADC_014,F24,data/raw_examples/F24/PROJ_ADC_014/raw_files/dataset_deidentified.csv,data/golden_datasets/PROJ_ADC_014/reference_output/nonmem_ready.csv,YES,2026-05-22,PLACEHOLDER_synthetic_signer,14
PROJ_BISP_015,F25,data/raw_examples/F25/PROJ_BISP_015/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,15
PROJ_CART_016,F26,data/raw_examples/F26/PROJ_CART_016/raw_files/dataset_deidentified.csv,data/golden_datasets/PROJ_CART_016/reference_output/nonmem_ready.csv,YES,2026-05-22,PLACEHOLDER_synthetic_signer,16
PROJ_MRNA_017,F27,data/raw_examples/F27/PROJ_MRNA_017/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,17
PROJ_DDIVP_018,F22,data/raw_examples/F22/PROJ_DDIVP_018/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,18
PROJ_PREG_019,F28,data/raw_examples/F28/PROJ_PREG_019/raw_files/dataset_deidentified.csv,,NO,2026-05-22,PLACEHOLDER_synthetic_signer,19
PROJ_LAC_020,F29,data/raw_examples/F29/PROJ_LAC_020/raw_files/dataset_deidentified.csv,data/golden_datasets/PROJ_LAC_020/reference_output/nonmem_ready.csv,YES,2026-05-22,PLACEHOLDER_synthetic_signer,20
