# h4 sample (seed=42, blinded=False)
sample_id,scenario_id,family_id,terminal_state,q_code,A0_state,A1_state,A2_state,A3_state,A4_state,A5_state,A6_state,A7_state,A8_state,A9_state,A10_state,modality_class,endpoint_data_type,analyte_role,action_label,action_sequence,parameter_policy,sample_type
S01,21461cb82e1d,F15,AUTO,,AIC-TTE,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,CELL_THERAPY,CATEGORICAL_PD,,AUTO_F15_CELL_THERAPY,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S02,9f73a7678a16,F01,AUTO,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MAB,PK_CONCENTRATION,,AUTO_F01_MAB,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S03,9a478d270948,F01,AUTO,,AIC-PK,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MAB,PK_CONCENTRATION,,AUTO_F01_MAB,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S04,59a66eca8a16,F27,AUTO,,AIC-BIOMARKER,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MRNA,CONTINUOUS_PD,,AUTO_F27_MRNA,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S05,9eb512a43f15,F27,AUTO,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MRNA,CONTINUOUS_PD,,AUTO_F27_MRNA,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S06,4f255d8fb4d9,F01,AUTO,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,BISPECIFIC,CONTINUOUS_PD,,AUTO_F01_BISPECIFIC,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S07,994d2d78e747,F01,AUTO,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,ADC,CONTINUOUS_PD,,AUTO_F01_ADC,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S08,874a9dcb6736,F01,AUTO,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,ADC,PK_CONCENTRATION,,AUTO_F01_ADC,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S09,e53ce940ae02,F01,AUTO,,AIC-PKPD,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,ADDL-ACTUAL-CONFLICT,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,SMALL_MOLECULE,PK_CONCENTRATION,,AUTO_F01_SMALL_MOLECULE,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
S10,6a1260bcca05,F01,AUTO,,AIC-BIOMARKER,ID-DEFINED,TIME-DEFINED,DOSE-DEFINED,REGIMEN-FIXED,BIOANALYTICAL-FINAL,COVARIATE-BASELINE-ONLY,SUBJECT-LEVEL-COVARIATE,SINGLE-ANALYTE,REANALYSIS-NONE,STRUCTURED,MAB,CONTINUOUS_PD,,AUTO_F01_MAB,parse_source -> assign_cmt_single -> assign_evid -> sort_records -> export_nonmem_ready,{},AUTO_RANDOM
